param;accuracy;recall;TP;TN;FP;FN
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.284679186;0.773177201;27424;3602711;996044;68909
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.265879813;0.772405757;25613;3600900;997855;70720
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.304869567;0.774005727;29369;3604656;994099;66964
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.2179869575608004};0.301205194;0.773855357;29016;3604303;994452;67317
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.284980225;0.773189555;27453;3602740;996015;68880
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.288322797;0.773326719;27775;3603062;995693;68558
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.296077149;0.773644924;28522;3603809;994946;67811
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.288571933;0.773336943;27799;3603086;995669;68534
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.2179869575608004};0.296699989;0.773670483;28582;3603869;994886;67751
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.273675687;0.772725666;26364;3601651;997104;69969
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.272201634;0.772665177;26222;3601509;997246;70111
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.299834948;0.773799128;28884;3604171;994584;67449
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.28915325;0.773360797;27855;3603142;995613;68478
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.2179869575608004};0.3006654;0.773833206;28964;3604251;994504;67369
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.435935764;0.683427233;41995;3166756;1431999;54338
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.448641691;0.683948629;43219;3167980;1430775;53114
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.3139438329804116};0.444645137;0.683784628;42834;3167595;1431160;53499
