;param;accuracy;recall;precision;f1;TP;TN;FP;FN
148;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 25};0.956321798;0.070982945;0.055858711;0.062519143;;;;
149;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 50};0.956342245;0.071481216;0.056250817;0.062958002;;;;
150;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 75};0.956305185;0.070578099;0.055540125;0.06216257;;;;
151;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.4, 'n_estimators': 100};0.95637249;0.072218243;0.056830806;0.063607148;;;;
152;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 25};0.956088363;0.065294344;0.051382172;0.057508834;;;;
153;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 50};0.95636823;0.072114436;0.056749118;0.063515719;;;;
154;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 75};0.956333726;0.071273603;0.05608744;0.062775144;;;;
155;{'contamination': 0.026073206721577955, 'max_features': 8, 'max_samples': 0.25, 'n_estimators': 100};0.956444906;0.073982955;0.058219514;0.065161441;;;;
156;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 25};0.956412532;0.073194025;0.05759868;0.06446658;;;;
157;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 50};0.956313705;0.070785712;0.055703503;0.062345428;;;;
158;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 75};0.956324354;0.071045229;0.055907724;0.062574;;;;
159;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.5, 'n_estimators': 100};0.956339264;0.071408552;0.056193635;0.062894002;;;;
160;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 25};0.956068342;0.064806453;0.050998236;0.057079118;;;;
161;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 50};0.956260032;0.069477749;0.054674226;0.061193423;;;;
162;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 75};0.956304759;0.070567718;0.055531957;0.062153427;;;;
163;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.4, 'n_estimators': 100};0.956376324;0.072311669;0.056904326;0.063689434;;;;
164;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 25};0.956087937;0.065283963;0.051374003;0.057499691;;;;
165;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 50};0.956179096;0.067505424;0.053122141;0.059456272;;;;
166;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 75};0.956239585;0.068979477;0.05428212;0.060754563;;;;
167;{'contamination': 0.026073206721577955, 'max_features': 6, 'max_samples': 0.25, 'n_estimators': 100};0.956240011;0.068989858;0.054290289;0.060763706;;;;
168;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.5, 'n_estimators': 25};0.956053007;0.064432749;0.050704156;0.056749974;;;;
169;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.5, 'n_estimators': 50};0.956161205;0.067069436;0.052779048;0.05907227;;;;
170;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.5, 'n_estimators': 75};0.956268551;0.069685362;0.054837603;0.061376281;;;;
171;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.5, 'n_estimators': 100};0.956252364;0.069290897;0.054527186;0.06102885;;;;
172;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.4, 'n_estimators': 25};0.956269829;0.069716504;0.05486211;0.061403709;;;;
173;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.4, 'n_estimators': 50};0.956288998;0.070183634;0.055229709;0.06181514;;;;
174;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.4, 'n_estimators': 75};0.956220416;0.068512348;0.053914521;0.060343133;;;;
175;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.4, 'n_estimators': 100};0.956303907;0.070546957;0.055515619;0.062135141;;;;
176;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.25, 'n_estimators': 25};0.956194431;0.067879128;0.05341622;0.059785416;;;;
177;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.25, 'n_estimators': 50};0.956208489;0.068221689;0.053685793;0.060087132;;;;
178;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.25, 'n_estimators': 75};0.956086233;0.06524244;0.051341328;0.05746312;;;;
179;{'contamination': 0.026073206721577955, 'max_features': 4, 'max_samples': 0.25, 'n_estimators': 100};0.956103272;0.065657667;0.051668083;0.057828836;;;;
180;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.5, 'n_estimators': 25};0.95532629;0.046723345;0.03676807;0.041152188;;;;
181;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.5, 'n_estimators': 50};0.955339495;0.047045145;0.037021304;0.041435618;;;;
182;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.5, 'n_estimators': 75};0.955172086;0.042965547;0.03381094;0.037842459;;;;
183;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.5, 'n_estimators': 100};0.955680703;0.055360053;0.043564567;0.04875908;;;;
184;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.4, 'n_estimators': 25};0.955529481;0.051674919;0.040664619;0.045513351;;;;
185;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.4, 'n_estimators': 50};0.955558447;0.052380804;0.041220102;0.046135068;;;;
186;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.4, 'n_estimators': 75};0.955333958;0.046910197;0.036915109;0.04131676;;;;
187;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.4, 'n_estimators': 100};0.955347589;0.047242378;0.037176513;0.041609333;;;;
188;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.25, 'n_estimators': 25};0.955046423;0.039903252;0.031401124;0.035145304;;;;
189;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.25, 'n_estimators': 50};0.955423839;0.049100516;0.03863874;0.043245912;;;;
190;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.25, 'n_estimators': 75};0.955322882;0.0466403;0.036702719;0.041079045;;;;
191;{'contamination': 0.026073206721577955, 'max_features': 1, 'max_samples': 0.25, 'n_estimators': 100};0.955512868;0.051270074;0.040346033;0.045156778;;;;
